Trip,Stopped Time,Moving Time,Total Fare,Trip Time,Trip Day
1,6,8,5.02,14-12-2025,08:48:07
2,8,7,5.01,14-12-2025,08:53:48
3,0,8,4.9,14-12-2025,09:00:07
4,13,0,4.76,14-12-2025,09:22:09
5,5,0,4.6,14-12-2025,09:22:39
6,24,7,5.33,14-12-2025,10:07:04
7,0,18,5.4,14-12-2025,10:11:47
8,0,20,5.5,14-12-2025,10:14:01
9,9,22,5.78,14-12-2025,10:20:50
10,4,2,4.68,14-12-2025,10:23:22
11,6,3,4.77,14-12-2025,10:26:25
12,0,4,4.7,14-12-2025,10:27:21
13,3,2,4.66,14-12-2025,10:47:56
14,3,3,4.71,14-12-2025,10:49:03
15,12,0,4.74,14-12-2025,10:51:18
16,15,0,4.8,14-12-2025,11:01:39
17,3,3,4.71,14-12-2025,11:04:52
18,10,12,8.1,14-12-2025,17:06:29
19,5,6,7.3,14-12-2025,17:07:08
20,6,3,7.04,14-12-2025,17:18:37
21,13,13,8.32,14-12-2025,19:39:05
22,2,4,6.98,14-12-2025,19:40:32
23,6,0,6.74,14-12-2025,19:41:24
24,5,0,6.7,14-12-2025,19:41:32
25,2,10,7.58,14-12-2025,19:41:53
26,8,2,4.76,14-12-2025,20:41:16
